STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,F_POPLSA,POPU_UND,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,TOTPHYS,F_TOTPHY,OTHPHYS,F_OTHPHY,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,VISITRPT,REFERENC,F_REFER,REFERRPT,REGBOR,F_REGBOR,ODFINE,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,OTHPHCIR,F_OTHPCR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,K0_5PRO,K6_11PRO,YAPRO,F_YAPRO,ADULTPRO,GENPRO,ONPRO,OFFPRO,VIRPRO,TOTATTEN,F_TOTATT,K0_5ATTEN,K6_11ATTEN,YAATTEN,F_YAATT,ADULTATTEN,GENATTEN,ONATTEN,OFFATTEN,VIRATTEN,TOTPRES,TOTVIEWS,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,PITUSRRPT,WIFISESS,F_WIFISS,WIFISRPT,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,LSAGEOID,LSAGEORATIO,LSAGEOTYPE,CNTYPOP,LOCALE_ADD,LOCALE_MOD,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,P.O. BOX 129,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,NO,NP,SO,Y,PL1,N,07/01/2022,06/30/2023,2202,R_23,2202,1,R_23,0,R_23,0,R_23,0,R_23,1,R_23,0.36,R_23,1.36,R_23,0,R_23,12016,R_23,0,R_23,50839,R_23,62855,R_23,-9,H_23,-9,H_23,-9,H_23,3883,R_23,0,R_23,1060,R_23,4943,R_23,-9,H_23,73084,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,19054,R_23,0,R_23,203,R_23,0,R_23,3771,R_23,0,R_23,23029,R_23,1,R_23,0,R_23,49,R_23,49,R_23,1404,R_23,5032,R_23,CT,356,R_23,CT,1730,R_23,Y,10655,R_23,2932,R_23,0,R_23,10655,R_23,2423,R_23,2423,R_23,13078,R_23,0,R_23,0,R_23,11,R_23,95,R_23,43,45,0,R_23,3,4,92,3,0,1235,R_23,476,497,0,R_23,108,154,1194,41,0,0,0,5,R_23,693,R_23,CT,4320,R_23,CT,-1,2024,08,1,00,00,00,-151.8315926,59.77966731,203110,1.046,PLACE,61223,43,43,02122000800,021220008003027,0200,-4,N,E,100,POINTADDRESS
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6093,3600 DENALI STREET,ANCHORAGE,99503,6093,ANCHORAGE,9073432892,NO,CO,MO,Y,CO1,N,01/01/2022,12/31/2022,289810,R_23,289810,1,R_23,4,R_23,0,R_23,23.9,R_23,23.9,R_23,50.35,R_23,74.25,R_23,14587561,R_23,35000,R_23,63868,R_23,268730,R_23,14955159,R_23,3728731,R_23,2528978,R_23,6257709,R_23,454349,R_23,417737,R_23,91915,R_23,964001,R_23,6289690,R_23,13511400,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,401288,R_23,48543,R_23,27338,R_23,37835,R_23,69049,R_23,4093,R_23,499287,R_23,1612,R_23,15,R_23,49,R_23,64,R_23,9736,R_23,503934,R_23,CT,71686,R_23,CT,117511,R_23,N,1199193,R_23,514575,R_23,338832,R_23,860361,R_23,955012,R_23,1293844,R_23,2154205,R_23,4791,R_23,369,R_23,928,R_23,1335,R_23,488,313,180,R_23,232,122,1177,72,86,23353,R_23,9561,9260,603,R_23,1930,1999,20497,2033,823,0,0,138,R_23,47028,R_23,CT,71113,R_23,CT,1074791,2024,08,1,00,00,00,-149.8764562,61.1870715,02020,0.995,COUNTY,286075,11,11,02020001900,020200019004016,0200,11260,0,E,100,POINTADDRESS
AK,AK0003,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,P.O. BOX 3078,ANDERSON,99744,M,DENALI,9075822628,NO,CI,SO,Y,PL1,N,07/01/2022,06/30/2023,247,R_23,247,1,R_23,0,R_23,0,R_23,0,R_23,0,IG21,0.24,IG21,0.24,IT23,7734,IG22,7000,R_23,0,R_23,0,IG22,14734,IT23,-9,H_23,-9,H_23,-9,H_23,1313,IQ23,246,IG21,1805,IG21,3364,IT23,-9,H_23,18442,IT23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,1557,IQ23,15600,IG21,0,IG21,266,IP21,0,IP21,1415,IG21,0,IG21,17281,IT23,0,IK21,0,R_23,49,R_23,49,R_23,420,IS23,421,IG21,CT,190,IG21,CT,147,IG21,N,780,IT23,602,IQ23,8,IB23,772,IB23,182,IB23,190,IT23,962,IT23,2,IM23,7,IQ23,0,IG21,-1,U_23,-1,-1,-1,U_23,-1,-1,-1,-1,-1,-1,U_23,-1,-1,-1,U_23,-1,-1,-1,-1,-1,-1,-1,6,IG21,160,IQ23,M,-1,U_23,M,-1,2024,08,4,25,00,00,-149.1744083,64.34374942,203220,1.395,PLACE,1584,43,43,02068000100,020680001001011,0200,-4,N,E,99.62,STREETADDRESS
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,P.O. BOX 368,BETHEL,99559,M,BETHEL,9075434516,NO,MJ,SO,Y,PL1,N,07/01/2022,06/30/2023,6154,R_23,6154,1,R_23,0,R_23,0,R_23,2,R_23,2,R_23,1,R_23,3,R_23,72600,R_23,132700,R_23,1250,R_23,12124,R_23,218674,R_23,144833,R_23,55913,R_23,200746,R_23,18743,R_23,4041,R_23,0,R_23,22784,R_23,23247,R_23,246777,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,35096,R_23,22604,R_23,2184,R_23,12020,R_23,4880,R_23,0,R_23,42176,R_23,16,R_23,2,R_23,49,R_23,51,R_23,2040,R_23,22697,R_23,CT,251,R_23,CT,1556,R_23,Y,9885,R_23,1900,R_23,1592,R_23,8293,R_23,6770,R_23,8362,R_23,16655,R_23,12,R_23,0,R_23,0,R_23,155,R_23,17,51,12,R_23,39,36,122,31,2,3873,R_23,298,992,186,R_23,431,1966,3170,503,200,-1,-1,8,R_23,2633,R_23,CT,-1,U_23,CT,-1,2024,08,1,00,00,00,-161.7736923,60.79058917,206520,0.973,PLACE,18224,33,33,02050000200,020500002002018,0200,-4,N,E,100,MANUAL
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,WASILLA,99623,9663,P.O. BOX 520829,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617636,NO,CO,SO,Y,PL2,N,07/01/2022,06/30/2023,10565,R_23,10565,1,R_23,0,R_23,0,R_23,1,R_23,2,R_23,4,R_23,6,R_23,443450,R_23,7000,R_23,0,R_23,0,R_23,450450,R_23,201339,R_23,94710,R_23,296049,R_23,30629,R_23,0,R_23,6000,R_23,36629,R_23,80131,R_23,412809,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,22217,R_23,3066,R_23,1575,R_23,4779,R_23,3414,R_23,0,R_23,27251,R_23,45,R_23,0,R_23,49,R_23,49,R_23,2444,R_23,33623,R_23,CT,713,R_23,CT,3264,R_23,Y,39647,R_23,21115,R_23,7875,R_23,31772,R_23,11622,R_23,19497,R_23,51269,R_23,20,R_23,65,R_23,92,R_23,379,R_23,29,125,0,R_23,182,43,372,7,0,3914,R_23,207,1516,0,R_23,1493,698,3838,76,0,9,3525,8,R_23,4531,R_23,CT,1624,R_23,CT,-1,2024,08,1,00,00,00,-149.8186701,61.54772359,207070,2.756,PLACE,115239,42,42,02170000502,021700005021009,0200,11260,0,E,99.58,POINTADDRESS
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,P.O. BOX 68,CANTWELL,99729,M,DENALI,9077682372,NO,NP,SO,Y,PL1,N,07/01/2022,06/30/2023,196,R_23,196,1,R_23,0,R_23,0,R_23,0,R_23,0.38,R_23,0,R_23,0.38,R_23,6804,R_23,7000,R_23,8508,R_23,5265,R_23,27577,R_23,-9,H_23,-9,H_23,-9,H_23,6209,R_23,255,R_23,1369,R_23,7833,R_23,-9,H_23,23091,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,11045,R_23,22604,R_23,347,R_23,12020,R_23,768,R_23,0,R_23,12160,R_23,0,R_23,0,R_23,49,R_23,49,R_23,720,R_23,432,R_23,ES,18,R_23,ES,158,R_23,N,1689,R_23,891,R_23,289,R_23,1400,R_23,216,R_23,505,R_23,1905,R_23,0,R_23,0,R_23,0,R_23,9,R_23,9,0,0,R_23,0,0,9,0,0,32,R_23,32,0,0,R_23,0,0,32,0,0,0,0,1,R_23,93,ID23,ES,25,R_23,ES,-4,2024,08,2,00,00,00,-148.8948017,63.3923707,210150,0.98,PLACE,1584,43,43,02068000100,020680001002176,0200,-4,N,E,100,MANUAL
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,P.O. BOX 5610,CHINIAK,99615,M,KODIAK ISLAND,9074863022,NO,NP,SO,N,PL1,N,07/01/2022,06/30/2023,53,R_23,53,1,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,7000,R_23,0,R_23,0,R_23,7000,R_23,-9,H_23,-9,H_23,-9,H_23,2200,R_23,300,R_23,1000,R_23,3500,R_23,-9,H_23,7100,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,5680,R_23,256,R_23,60,R_23,41,R_23,465,E_23,0,R_23,6220,R_23,15,R_23,0,R_23,49,R_23,49,R_23,776,R_23,3123,R_23,ES,150,R_23,ES,100,R_23,N,2202,R_23,1191,R_23,92,R_23,2110,R_23,59,R_23,151,R_23,2261,R_23,13,R_23,0,R_23,0,R_23,125,R_23,0,0,30,R_23,5,90,123,0,2,1561,R_23,0,0,150,R_23,40,1371,1510,0,51,0,0,4,R_23,776,R_23,ES,1481,R_23,ES,-4,2024,08,1,00,00,00,-152.2335921,57.6122436,213860,0.869,PLACE,12565,43,43,02150000100,021500001003035,0200,-4,N,E,99.9,STREETADDRESS
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,P.O. BOX 87,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,NO,NP,SO,Y,PL1,N,07/01/2022,06/30/2023,56,R_23,56,1,R_23,0,R_23,0,R_23,0,R_23,0.25,R_23,0,R_23,0.25,R_23,18985,IB23,20269,R_23,0,R_23,0,R_23,39254,IT23,-9,H_23,-9,H_23,-9,H_23,2436,R_23,129,R_23,2192,R_23,4757,R_23,-9,H_23,36865,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,2180,R_23,0,R_23,235,R_23,0,R_23,1804,R_23,0,R_23,4307,R_23,88,R_23,0,R_23,49,R_23,49,R_23,576,R_23,700,R_23,ES,0,R_23,CT,148,R_23,N,980,R_23,410,R_23,0,R_23,980,R_23,0,R_23,0,R_23,980,R_23,25,R_23,0,R_23,0,R_23,-1,U_23,5,5,-1,U_23,5,-1,15,-1,-1,-1,U_23,30,30,-1,U_23,65,-1,125,-1,-1,-1,-1,3,R_23,58,R_23,ES,15055,R_23,ES,20,2024,08,2,00,00,00,-162.7143121,55.20719778,216530,1.12,PLACE,3461,43,43,02013000100,020130001001166,0200,-4,N,E,100,MANUAL
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,P.O. BOX 517,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,NO,NP,SO,N,PL1,N,07/01/2022,06/30/2023,364,R_23,364,1,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,7000,R_23,1250,R_23,7880,R_23,16130,R_23,-9,H_23,-9,H_23,-9,H_23,2959,R_23,1220,R_23,562,R_23,4741,R_23,-9,H_23,15251,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,3748,R_23,22604,R_23,0,R_23,12020,R_23,1076,R_23,0,R_23,4824,R_23,0,R_23,0,R_23,49,R_23,49,R_23,600,R_23,1797,R_23,CT,50,R_23,CT,173,R_23,N,2461,R_23,757,R_23,479,R_23,1982,R_23,402,R_23,881,R_23,2863,R_23,0,R_23,0,R_23,76,R_23,15,R_23,0,0,0,R_23,11,4,8,0,7,110,R_23,0,0,0,R_23,50,60,75,0,35,0,0,5,R_23,463,ID23,CT,1915,R_23,CT,2697,2024,08,2,00,00,00,-149.8238238,60.49398903,217190,1.058,PLACE,61223,43,43,02122000300,021220003001133,0200,-4,N,E,100,POINTADDRESS
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,M,P.O. BOX 1210,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,NO,CI,SO,Y,PL1,N,07/01/2022,06/30/2023,2566,R_23,2566,1,R_23,0,R_23,0,R_23,1,R_23,3,R_23,2,R_23,5,R_23,810075,R_23,7000,R_23,13700,R_23,0,R_23,830775,R_23,465383,R_23,295092,R_23,760475,R_23,16817,R_23,2148,R_23,555,R_23,19520,R_23,50815,R_23,830810,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,0,R_23,23344,R_23,22604,R_23,705,R_23,12020,R_23,1720,R_23,0,R_23,25889,R_23,120,R_23,0,R_23,49,R_23,49,R_23,2076,R_23,21365,R_23,CT,1628,R_23,CT,3294,R_23,N,14917,R_23,7665,R_23,3238,R_23,11679,R_23,2823,R_23,6061,R_23,17740,R_23,24,R_23,2,R_23,192,R_23,162,R_23,24,92,5,R_23,38,3,83,5,74,2449,R_23,141,1257,154,R_23,319,578,1624,88,737,0,0,6,R_23,2416,R_23,CT,14846,R_23,CT,-1,2024,08,1,00,00,00,-145.759365,60.544334,217410,0.984,PLACE,6769,43,43,02063000200,020630002002016,0200,-4,N,E,100,MANUAL
