STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE
AK,AK0001,002,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,CE,2880,R_23,0,1404,R_23,52,R_23,2024,08,00,00,00,-151.8315926,59.7796673,61223,43,02122000800,021220008003027,0200,-4,N,E,100,POINTADDRESS
AK,AK0002,007,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,2653,R_23,0,1921,R_23,52,R_23,2024,08,00,00,00,-149.5713885,61.3295927,286075,31,02020000201,020200002012000,0200,11260,0,E,100,SUBADDRESS
AK,AK0002,008,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2012,ANCHORAGE,9073434223,BR,8204,R_23,0,1939,R_23,52,R_23,2024,08,00,00,00,-149.7334126,61.210617,286075,11,02020000703,020200007035009,0200,11260,0,E,100,SUBADDRESS
AK,AK0002,010,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_23,0,1988,R_23,52,R_23,2024,08,00,00,00,-149.1349747,60.9601421,286075,42,02020002900,020200029002090,0200,11260,0,E,100,POINTADDRESS
AK,AK0002,011,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6093,ANCHORAGE,9073432892,CE,146171,R_23,0,1921,R_23,52,R_23,2024,08,00,00,00,-149.8764562,61.1870715,286075,11,02020001900,020200019004016,0200,11260,0,E,100,POINTADDRESS
AK,AK0002,012,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_23,0,1967,R_23,52,R_23,2024,08,00,00,00,-149.8085247,61.2226231,286075,11,02020000901,020200009012000,0200,11260,0,E,99.04,POINTADDRESS
AK,AK0003,002,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,IP22,0,420,IP22,52,R_23,2024,08,25,00,00,-149.1744083,64.3437494,1584,43,02068000100,020680001001011,0200,-4,N,E,99.62,STREETADDRESS
AK,AK0006,002,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_23,0,2040,R_23,51,R_23,2024,08,00,00,00,-161.7736923,60.7905892,18224,33,02050000200,020500002002018,0200,-4,N,E,100,MANUAL
AK,AK0007,002,Y,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617635,CE,6940,R_23,0,2444,R_23,52,R_23,2024,08,00,00,00,-149.8186701,61.5477236,115239,42,02170000502,021700005021009,0200,11260,0,E,99.58,POINTADDRESS
AK,AK0008,002,Y,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,812,R_23,0,720,R_23,48,R_23,2024,08,00,00,00,-148.8948017,63.3923707,1584,43,02068000100,020680001002176,0200,-4,N,E,100,MANUAL
AK,AK0011,002,N,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,-4,CE,1440,R_23,0,776,R_23,48,R_23,2024,08,00,00,00,-152.2335921,57.6122436,12565,43,02150000100,021500001003035,0200,-4,N,E,99.9,STREETADDRESS
AK,AK0014,002,Y,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,1623,R_23,0,576,R_23,48,R_23,2024,08,00,00,00,-162.7150695,55.2065854,3461,43,02013000100,020130001001178,0200,-4,N,E,100,MANUAL
AK,AK0015,002,N,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,1320,R_23,0,600,R_23,52,R_23,2024,08,00,00,00,-149.8238238,60.493989,61223,43,02122000300,021220003001133,0200,-4,N,E,100,POINTADDRESS
AK,AK0016,002,Y,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,CE,5652,R_23,0,2076,R_23,52,R_23,2024,08,00,00,00,-145.7584917,60.5444044,6769,43,02063000200,020630002002010,0200,-4,N,E,100,MANUAL
AK,AK0017,003,Y,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,1800,R_23,0,2304,R_23,52,R_23,2024,08,00,00,00,-133.1514427,55.4760787,5696,43,02198000200,021980002003031,0200,-4,N,E,96.5,STREETADDRESS
AK,AK0019,002,Y,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANKS,9078954102,CE,5000,R_23,0,2392,R_23,52,R_23,2024,08,00,00,00,-145.734613,64.0468044,7077,43,02240000400,022400004001070,0200,-4,N,E,97.87,STREETADDRESS
AK,AK0020,002,Y,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,2430,R_23,0,1560,R_23,52,R_23,2024,08,00,00,00,-158.4634525,59.0406409,4607,43,02070000200,020700002001020,0200,-4,N,E,99.04,STREETADDRESS
AK,AK0021,002,Y,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,M,SE FAIRBANKS,9075472334,CE,1500,R_23,0,561,R_23,51,R_23,2024,08,00,00,00,-141.2084499,64.78697,7077,43,02240000100,022400001001051,0200,-4,N,E,95.12,STREETINT
