id,name,address,city,state,zip,latitude,longitude,phone,outlet_type
AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,AK,99556,59.7796673,-151.8315926,9072355692,CE
AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,AK,99577,61.3295927,-149.5713885,9073431530,BR
AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,AK,99504,61.210617,-149.7334126,9073434223,BR
AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,AK,99587,60.9601421,-149.1349747,9073434024,BR
AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,AK,99503,61.1870715,-149.8764562,9073432892,CE
AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,AK,99508,61.2226231,-149.8085247,9073432819,BR
AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,AK,99744,64.3437494,-149.1744083,9075822628,CE
AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,AK,99559,60.7905892,-161.7736923,9075434516,CE
AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,AK,99652,61.5477236,-149.8186701,9078617635,CE
AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,AK,99729,63.3923707,-148.8948017,9077682372,CE
AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,AK,99615,57.6122436,-152.2335921,-4,CE
AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,AK,99571,55.2065854,-162.7150695,9075322878,CE
AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,AK,99572,60.493989,-149.8238238,9075951241,CE
AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,AK,99574,60.5444044,-145.7584917,9074246667,CE
AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,AK,99921,55.4760787,-133.1514427,9078263281,CE
AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,AK,99737,64.0468044,-145.734613,9078954102,CE
AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,AK,99576,59.0406409,-158.4634525,9078425610,CE
AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,AK,99738,64.78697,-141.2084499,9075472334,CE
AK0023-003,NORTH POLE BRANCH LIBRARY,656 NORTH POLE HIGH SCHOOL BLVD.,NORTH POLE,AK,99705,64.74791,-147.36566,9074886101,BR
AK0023-004,FAIRBANKS NORTH STAR PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,AK,99701,64.8387296,-147.7384145,9074591022,CE
AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,AK,99741,64.7495017,-156.8815216,9076561205,CE
AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,AK,99588,62.10949,-145.56129,9078225427,CE
AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,AK,99826,58.4185422,-135.7116901,9076972350,CE
AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,AK,99827,59.2342209,-135.4477853,9077662545,CE
AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,AK,99743,63.8734183,-149.0181333,9076832507,CE
AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,AK,99950,55.4822294,-132.6490406,9075307112,CE
AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,AK,99603,59.6435451,-151.531634,9072353180,CE
AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,AK,99605,60.9187112,-149.6412992,9077823121,CE
AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,AK,99824,58.2768534,-134.3952571,9073642378,BR
AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,3025 DIMOND PARK LOOP,JUNEAU,AK,99801,58.3777983,-134.5892619,9077890125,BR
AK0035-004,DOWNTOWN PUBLIC LIBRARY,292 MARINE WAY,JUNEAU,AK,99801,58.2985496,-134.4045093,9075865249,CE
